Plot Title: 20036649 Audubon 01,,,
#,"Date Time, GMT-07:00","High Range, μS/cm (LGR S/N: 20036649, SEN S/N: 20036649, LBL: Audubon 01 uS)","Temp, °C (LGR S/N: 20036649, SEN S/N: 20036649, LBL: Audubon 01 oC)"
585,04/11/18 16:00,22.6917,25.47
586,04/11/18 16:15,22.6917,25.7
587,04/11/18 16:30,22.6917,25.61
588,04/11/18 16:45,22.6917,25.66
589,04/11/18 17:00,22.6917,25.67
590,04/11/18 17:15,22.6917,25.96
591,04/11/18 17:30,22.6917,25.77
592,04/11/18 17:45,22.6917,25.81
593,04/11/18 18:00,22.6917,26.19
594,04/11/18 18:15,22.6917,25.17
595,04/11/18 18:30,22.6917,25.08
596,04/11/18 18:45,22.6917,25.1
597,04/11/18 19:00,22.6917,25.12
598,04/11/18 19:15,22.6917,25.09
599,04/11/18 19:30,22.6917,25
600,04/11/18 19:45,22.6917,24.79
601,04/11/18 20:00,22.6917,24.67
602,04/11/18 20:15,22.6917,24.49
603,04/11/18 20:30,22.6917,23.99
604,04/11/18 20:45,22.6917,23.39
605,04/11/18 21:00,22.6917,22.93
606,04/11/18 21:15,22.6917,23.07
607,04/11/18 21:30,22.6917,23.18
608,04/11/18 21:45,22.6917,23.19
609,04/11/18 22:00,22.6917,22.96
610,04/11/18 22:15,22.6917,22.66
611,04/11/18 22:30,22.6917,22.69
612,04/11/18 22:45,22.6917,22.73
613,04/11/18 23:00,22.6917,22.75
614,04/11/18 23:15,22.6917,22.78
615,04/11/18 23:30,22.6917,22.5
616,04/11/18 23:45,22.6917,22.31
617,04/12/18 0:00,22.6917,22.06
618,04/12/18 0:15,22.6917,21.89
619,04/12/18 0:30,22.6917,21.66
620,04/12/18 0:45,22.6917,21.41
621,04/12/18 1:00,22.6917,21.15
622,04/12/18 1:15,22.6917,21.08
623,04/12/18 1:30,22.6917,21.01
624,04/12/18 1:45,22.6917,20.88
625,04/12/18 2:00,22.6917,20.61
626,04/12/18 2:15,22.6917,20.49
627,04/12/18 2:30,22.6917,20.35
628,04/12/18 2:45,22.6917,20.19
629,04/12/18 3:00,22.6917,20.11
