"Plot Title: 20246312"
"#","Date Time, GMT-07:00","Abs Pres, mm Hg (LGR S/N: 20246312, SEN S/N: 20246312)","Temp, °C (LGR S/N: 20246312, SEN S/N: 20246312)"
502,03/19/18 07:15:00 PM,767.40,16.999
503,03/19/18 07:30:00 PM,767.35,16.903
504,03/19/18 07:45:00 PM,767.30,16.808
505,03/19/18 08:00:00 PM,767.31,16.618
506,03/19/18 08:15:00 PM,767.07,16.618
507,03/19/18 08:30:00 PM,767.19,16.618
508,03/19/18 08:45:00 PM,767.31,16.618
509,03/19/18 09:00:00 PM,767.43,16.618
510,03/19/18 09:15:00 PM,767.38,16.523
511,03/19/18 09:30:00 PM,767.50,16.523
512,03/19/18 09:45:00 PM,767.38,16.523
513,03/19/18 10:00:00 PM,767.45,16.427
514,03/19/18 10:15:00 PM,767.45,16.427
515,03/19/18 10:30:00 PM,767.40,16.332
516,03/19/18 10:45:00 PM,767.52,16.332
517,03/19/18 11:00:00 PM,767.40,16.332
518,03/19/18 11:15:00 PM,767.40,16.332
519,03/19/18 11:30:00 PM,767.16,16.332
520,03/19/18 11:45:00 PM,766.98,16.237
521,03/20/18 12:00:00 AM,766.94,16.141
522,03/20/18 12:15:00 AM,766.94,16.141
523,03/20/18 12:30:00 AM,767.00,16.046
524,03/20/18 12:45:00 AM,766.95,15.951
525,03/20/18 01:00:00 AM,766.95,15.951
526,03/20/18 01:15:00 AM,766.95,15.951
527,03/20/18 01:30:00 AM,766.89,15.855
528,03/20/18 01:45:00 AM,766.96,15.760
529,03/20/18 02:00:00 AM,766.79,15.664
530,03/20/18 02:15:00 AM,766.79,15.664
531,03/20/18 02:30:00 AM,766.56,15.664
532,03/20/18 02:45:00 AM,766.56,15.664
533,03/20/18 03:00:00 AM,766.32,15.664
534,03/20/18 03:15:00 AM,766.32,15.664
535,03/20/18 03:30:00 AM,766.20,15.664
